location,density,gdp,rate
Ukraine,77.3900000000001,7894.393000000004,44.3409090909090000
Chile,24.28199999999998,22767.037000000008,43.5459854014600000
Philippines,351.87299999999965,7599.1879999999965,43.4729136163980000
Malaysia,96.25399999999993,26808.164000000048,42.5611111111110000
Slovakia,113.12799999999996,30155.151999999965,34.5843971631210000
China,147.67400000000035,15308.712000000034,33.4896907216490000
Kazakhstan,6.680999999999998,24055.587999999992,31.4882812500000000
Jordan,109.2849999999999,8337.489999999993,31.3420289855070000
Hungary,108.04299999999985,26777.56100000002,29.6240822320120000
Panama,55.1329999999999,22267.037000000008,29.0884955752210000
Finland,18.13599999999998,40585.72099999993,28.1442715700140000
Georgia,65.03200000000008,9745.079000000018,26.7554904831630000
Norway,14.461999999999993,64800.057000000015,25.6114285714290000
Vanuatu,22.662000000000017,2921.9090000000037,25.4615384615380000
Singapore,7915.731000000019,85535.38300000013,23.9920739762220000
Bangladesh,1265.0359999999973,3523.9839999999976,23.8057228915660000
Nepal,204.4300000000002,2442.8040000000033,23.5846153846150000
Morocco,80.07999999999994,7485.013000000004,22.2270058708410000
Slovenia,102.61900000000001,31400.839999999975,20.0072150072150000
Solomon Islands,21.840999999999966,2205.9230000000002,19.8295454545450000
Lithuania,45.13500000000009,29524.264999999974,19.6067746686300000
Iraq,88.125,15663.986000000014,19.5315487571700000
Cuba,110.40800000000003,"",19.4133064516130000
Uruguay,19.750999999999983,20551.40899999999,19.0443786982250000
Serbia,80.2910000000001,14048.881000000027,18.9251798561150000
Kyrgyzstan,32.333000000000034,3393.473999999995,18.1360000000000000
Tunisia,74.22800000000004,10849.297000000013,17.7655571635310000
Cyprus,127.65699999999985,32415.13200000005,17.6706161137440000
Latvia,31.211999999999996,25063.845999999958,17.3378176382660000
Croatia,73.72600000000003,22669.797000000013,16.8519685039370000
New Zealand,18.205999999999975,36085.84299999999,16.1467025572010000
Mongolia,1.9799999999999982,11840.846000000012,15.0537634408600000
Pakistan,255.57300000000023,5034.707999999998,14.1003649635040000
Ecuador,66.93900000000006,10581.935999999989,14.0554744525550000
Bolivia,10.202,6885.829000000014,13.9607250755290000
Botswana,4.043999999999998,15807.374000000005,13.2926267281110000
Guinea-Bissau,66.19099999999987,1548.6750000000006,13.2000000000000000
Bulgaria,65.18000000000002,18563.307000000023,13.1352941176470000
Cook Islands,"","",13.0000000000000000
Zimbabwe,42.72899999999994,1899.7749999999971,12.6006711409400000
Lebanon,594.5610000000008,13367.564999999973,12.3731778425660000
Belarus,46.85800000000007,17167.966999999968,12.0500000000000000
Estonia,31.03299999999994,29481.251999999997,11.9857954545450000
United Arab Emirates,112.4419999999999,67293.483,11.9429429429430000
Azerbaijan,119.30899999999988,15847.418999999996,11.4290909090910000
Bahrain,1935.9070000000033,43290.705000000045,11.2521489971350000
Myanmar,81.72099999999986,5591.597000000005,10.5061475409840000
Dominican Republic,222.8729999999997,14600.861000000017,10.4882697947210000
Brunei,81.34699999999995,71809.2510000001,10.3797468354430000
Guatemala,157.8340000000003,7423.807999999995,10.0400000000000000
Oman,14.980000000000013,37960.70899999993,9.9828693790150000
Costa Rica,96.0789999999999,15524.995000000026,9.5600578871200000
El Salvador,307.8110000000005,7292.457999999993,9.4553706505300000
Iceland,3.4039999999999973,46482.95800000006,8.8765432098770000
Angola,23.890000000000036,5819.494999999997,8.6215753424660000
Saudi Arabia,15.321999999999985,49045.41099999995,8.2463126843660000
Sri Lanka,341.95500000000084,11669.077000000021,8.1361058601130000
Honduras,82.80500000000009,4541.794999999998,7.8810916179340000
New Caledonia,15.342000000000013,"",7.2832244008710000
Kuwait,232.12800000000033,65530.536999999895,6.5737226277370000
Luxembourg,231.4470000000001,94277.96499999992,6.5561959654180000
Niger,16.95499999999999,926.0,6.4000000000000000
Moldova,123.65500000000013,5189.972000000006,6.3381924198250000
Zambia,22.994999999999948,3689.250999999995,6.2822085889570000
Egypt,97.99899999999985,10550.206000000004,6.1560693641620000
Qatar,227.32200000000006,116935.59999999985,6.0648567119160000
Kenya,87.32399999999984,2993.027999999997,5.9366085578450000
Ethiopia,104.95700000000012,1729.9269999999988,5.8353846153850000
Namibia,3.078000000000002,9541.807999999992,5.7107623318390000
Mozambique,37.72800000000003,1136.1030000000014,5.5207373271890000
Paraguay,17.144000000000002,8827.010000000007,5.3968253968250000
Palestine,778.2019999999991,4449.897999999992,5.3636363636360000
Lesotho,73.56199999999993,2851.1529999999984,5.2897727272730000
Benin,99.10999999999989,2064.2360000000026,5.1422845691380000
Nigeria,209.58799999999982,5338.454000000009,5.1333333333330000
Venezuela,36.25300000000003,16745.022000000026,5.1258992805760000
Libya,3.622999999999996,17881.509000000002,4.7906295754030000
Bosnia and Herzegovina,68.49600000000007,11713.895000000011,4.6327077747990000
Gambia,207.56600000000023,1561.767000000003,4.5526315789470000
Samoa,69.413,6021.556999999993,4.3173076923080000
Mauritius,622.9619999999996,20292.74500000005,4.1823361823360000
Malawi,197.51900000000018,1095.0420000000008,4.0074626865670000
Laos,29.715000000000007,6397.35999999999,3.9620853080570000
Albania,104.87100000000008,11803.43099999999,3.9497041420120000
Armenia,102.93099999999993,8787.579999999987,3.8948948948950000
Ghana,126.71899999999975,4227.630000000004,3.8161993769470000
Uganda,213.75899999999973,1697.7069999999974,3.7656250000000000
Afghanistan,54.42199999999991,1803.9869999999964,3.7559912854030000
French Polynesia,77.32399999999988,"",3.5959004392390000
Maldives,1454.4330000000002,15183.615999999985,3.5484633569740000
Senegal,82.32800000000017,2470.579999999996,3.4302788844620000
Montenegro,46.28000000000008,16409.287999999964,3.3672230652500000
Isle of Man,147.87199999999999,"",3.2457002457000000
Rwanda,494.86899999999935,1854.2110000000014,3.2395023328150000
Algeria,17.347999999999974,13913.839000000007,3.1382352941180000
Cameroon,50.885000000000105,3364.9260000000045,3.1289473684210000
North Macedonia,82.6000000000001,13111.214000000014,2.9798561151080000
Tonga,150.02800000000002,5425.621000000006,2.9480519480520000
Burundi,423.06200000000047,702.224999999999,2.5087336244540000
Trinidad and Tobago,266.88599999999974,28763.071,2.4654832347140000
Chad,11.832999999999995,1768.1530000000014,2.4090909090910000
Cape Verde,135.57999999999996,6222.554000000003,2.3466453674120000
Uzbekistan,76.134,6253.103999999995,2.2427921092560000
Cambodia,90.6719999999998,3645.0700000000056,2.1230769230770000
Belize,16.425999999999995,7824.361999999999,2.1164874551970000
Papua New Guinea,18.220000000000024,3823.194,2.1058315334770000
Jamaica,266.8790000000005,8193.570999999998,2.0709876543210000
Madagascar,43.951000000000015,1416.4400000000014,2.0704845814980000
Suriname,3.6119999999999974,13767.118999999979,1.9982394366200000
Tanzania,64.69899999999991,2683.3040000000033,1.9687010954620000
Curacao,362.6440000000002,"",1.9519650655020000
Eswatini,79.49200000000012,7738.974999999988,1.9335443037970000
Mauritania,4.288999999999993,3597.6330000000003,1.8652597402600000
Gabon,7.859000000000003,16562.412999999964,1.7892307692310000
Cote d'Ivoire,76.39900000000006,3601.005999999996,1.7707182320440000
Guyana,3.9519999999999986,7435.047000000011,1.6068249258160000
Palau,47.23700000000003,13240.405000000013,1.5935483870970000
Timor,87.1760000000001,6570.102000000009,1.5487364620940000
Malta,1454.0369999999978,36513.32299999997,1.4968652037620000
Sudan,23.258000000000024,4466.5070000000005,1.3639846743300000
Fiji,49.56199999999993,8702.974999999986,1.3241167434720000
Somalia,23.5,"",1.1962134251290000
Saint Vincent and the Grenadines,281.78700000000015,10727.145999999986,1.1868131868130000
Mali,15.196,2014.3060000000005,1.1748466257670000
Aruba,584.8000000000006,35973.78099999997,1.1059190031150000
Bahamas,39.49699999999996,27717.847000000027,1.0310077519380000
Burkina Faso,70.15099999999991,1703.1019999999999,1.0138888888890000
Nicaragua,51.66699999999997,5321.444000000005,1.0078125000000000
Wallis and Futuna,"","",0.9642857142860000
Cayman Islands,256.49599999999947,49903.02900000007,0.9640102827760000
British Virgin Islands,207.97300000000004,"",0.9141104294480000
Faeroe Islands,35.308,"",0.9044117647060000
Congo,15.404999999999978,4881.406000000004,0.8871715610510000
Democratic Republic of Congo,35.87899999999994,808.1330000000011,0.8861607142860000
Syria,"","",0.8467432950190000
Barbados,664.4630000000012,16978.067999999977,0.8246153846150000
Togo,143.366,1429.8129999999983,0.8177496038030000
Grenada,317.1320000000003,13593.876999999986,0.8100303951370000
Equatorial Guinea,45.193999999999974,22604.872999999967,0.7918552036200000
Kiribati,143.701,1981.131999999999,0.7870722433460000
Saint Kitts and Nevis,212.86499999999998,24654.385000000006,0.7000000000000000
Djibouti,41.28499999999995,2705.405999999995,0.6605263157890000
Bhutan,21.188000000000024,8708.596999999998,0.6582633053220000
Haiti,398.4480000000001,1653.1729999999989,0.6475770925110000
Seychelles,208.35399999999973,26382.287000000004,0.6312684365780000
Comoros,437.3519999999996,1413.8899999999996,0.6267942583730000
Antigua and Barbuda,231.84500000000003,21490.942999999974,0.6244411326380000
Guinea,51.75500000000008,1998.9260000000043,0.6117103235750000
Dominica,98.56699999999995,9673.366999999997,0.5859491778770000
Andorra,163.75499999999985,"",0.5154894671620000
Greenland,0.13700000000000032,"",0.5022288261520000
Central African Republic,7.479000000000005,661.2399999999996,0.4739413680780000
San Marino,556.6670000000007,56861.47000000006,0.4624277456650000
Bonaire Sint Eustatius and Saba,"","",0.4354136429610000
South Sudan,"",1569.8880000000024,0.4333333333330000
Saint Lucia,293.1870000000005,12951.839000000009,0.4225563909770000
Bermuda,1308.820000000003,50669.31499999999,0.4060509554140000
Saint Pierre and Miquelon,"","",0.3189300411520000
Gibraltar,3457.100000000004,"",0.3141210374640000
Yemen,53.5079999999999,1479.1469999999981,0.2972136222910000
Liechtenstein,237.01199999999983,"",0.2906815020860000
Liberia,49.12699999999997,752.7880000000004,0.1990521327010000
Turks and Caicos Islands,37.311999999999934,"",0.1925465838510000
Monaco,19347.5,"",0.1902017291070000
Eritrea,44.30400000000006,1510.4590000000017,0.1571648690290000
Montserrat,"","",0.1238471673250000
Sierra Leone,104.69999999999995,1390.300000000002,0.1168831168830000
Macao,20546.76600000001,104861.85099999985,0.1063321385900000
Anguilla,"","",0.1055045871560000
Sao Tome and Principe,212.84100000000024,3052.7140000000036,0.1036682615630000
Falkland Islands,"","",0.0333333333330000
Marshall Islands,295.1500000000002,3819.2019999999957,0.0217755443890000
Micronesia (country),150.77700000000002,3299.4640000000045,""
Tajikistan,64.28099999999996,2896.913,""
